#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"purU"	-0.33	0.66	NaN	-1	-	-	-
"lrp"	"rssA"	0.24	0.06	NaN	1	-	-	-
"lrp"	"ychJ"	-0.35	0.75	NaN	-1	-	-	-
"lrp"	"rssB"	0.24	0.26	NaN	1	-	-	-
"lrp"	"galU"	0.11	0.29	NaN	1	-	-	-
"lrp"	"hns"	0.18	0.22	NaN	1	-	-	-
"lrp"	"tdk"	-0.75	0.24	NaN	-1	-	-	-
"lrp"	"ychG_1"	-0.23	1.12	NaN	-1	-	-	-
"lrp"	"adhE"	0.09	0.64	NaN	1	-	-	-
"lrp"	"ychE"	-0.75	0.89	NaN	-1	-	-	-
"lrp"	"oppA"	-3.80	0.43	NaN	-1	-	-	-
"lrp"	"oppB"	-4.45	1.93	NaN	-1	-	-	-
"lrp"	"oppC"	-3.66	1.32	NaN	-1	-	-	-
"lrp"	"oppD"	-3.47	0.97	NaN	-1	-	-	-
"lrp"	"oppF"	-3.11	0.54	NaN	-1	-	-	-
"lrp"	"yciU"	0.01	0.36	NaN	1	-	-	-
"lrp"	"clsA"	0.11	0.23	NaN	1	-	-	-
"lrp"	"yciY"	-0.24	0.97	NaN	-1	-	-	-
"lrp"	"kch"	-0.28	0.43	NaN	-1	-	-	-
"lrp"	"yciI"	-0.22	0.45	NaN	-1	-	-	-
"lrp"	"tonB"	0.39	0.57	NaN	1	-	-	-
"lrp"	"yciA"	-0.14	1.07	NaN	-1	-	-	-
"lrp"	"yciB"	-0.13	0.33	NaN	-1	-	-	-
"lrp"	"yciC"	-0.04	0.39	NaN	-1	-	-	-
"lrp"	"ompW"	-0.12	0.84	NaN	-1	-	-	-
"lrp"	"yciE"	-0.55	1.15	NaN	-1	-	-	-
"lrp"	"yciG"	-0.06	0.76	NaN	-1	-	-	-
"lrp"	"trpA"	-0.14	0.31	NaN	-1	-	-	-
"lrp"	"trpB"	-0.02	0.07	NaN	-1	-	-	-
"lrp"	"trpC"	-0.19	0.14	NaN	-1	-	-	-
"lrp"	"trpD"	-0.48	0.38	NaN	-1	-	-	-
"lrp"	"trpL"	0.16	1.70	NaN	1	-	-	-
"lrp"	"yciV"	-0.11	0.13	NaN	-1	-	-	-
"lrp"	"trpE"	-1.06	0.75	NaN	-1	-	-	-
"lrp"	"sohB"	0.00	0.19	NaN	1	-	-	-
"lrp"	"yciN"	-1.16	0.90	NaN	-1	-	-	-
"lrp"	"topA"	-0.51	0.41	NaN	-1	-	-	-
"lrp"	"cysB"	-0.47	0.59	NaN	-1	-	-	-
"lrp"	"ymiA"	-0.68	0.65	NaN	-1	-	-	-
"lrp"	"acnA"	0.44	0.52	NaN	1	-	-	-
"lrp"	"pgpB"	0.30	0.13	NaN	1	-	-	-
"lrp"	"ribA"	0.08	0.32	NaN	1	-	-	-
"lrp"	"lapA"	0.22	0.60	NaN	1	-	-	-
"lrp"	"pyrF"	-0.28	0.31	NaN	-1	-	-	-
"lrp"	"osmB"	-0.38	0.23	NaN	-1	-	-	-
"lrp"	"yciT"	0.14	0.30	NaN	1	-	-	-
"lrp"	"yciZ"	0.66	0.55	NaN	1	-	-	-
"lrp"	"pdeR"	-0.09	0.36	NaN	-1	-	-	-
"lrp"	"rnb"	-0.97	0.96	NaN	-1	-	-	-
"lrp"	"yciW"	-0.41	0.11	NaN	-1	-	-	-
"lrp"	"fabI"	0.18	0.16	NaN	1	-	-	-
"lrp"	"ycjD"	0.15	0.06	NaN	1	-	-	-
"lrp"	"sapF"	-0.30	0.75	NaN	-1	-	-	-
"lrp"	"sapD"	-0.08	0.68	NaN	-1	-	-	-
"lrp"	"sapB"	-0.27	0.79	NaN	-1	-	-	-
"lrp"	"ymjA"	0.37	0.99	NaN	1	-	-	-
"lrp"	"puuP"	0.22	0.27	NaN	1	-	-	-
"lrp"	"puuA"	0.43	0.40	NaN	1	-	-	-
"lrp"	"puuD"	0.24	0.36	NaN	1	-	-	-
"lrp"	"puuR"	0.15	0.50	NaN	1	-	-	-
"lrp"	"puuC"	-0.26	0.24	NaN	-1	-	-	-
"lrp"	"pspF"	0.21	0.19	NaN	1	-	-	-
"lrp"	"pspA"	-0.15	0.14	NaN	-1	-	-	-
"lrp"	"pspE"	0.04	0.56	NaN	1	-	-	-
"lrp"	"ycjM"	-0.39	0.00	NaN	-1	-	-	-
"lrp"	"ycjW"	-0.08	0.05	NaN	-1	-	-	-
"lrp"	"ycjX"	0.44	0.86	NaN	1	-	-	-
"lrp"	"tyrR"	0.27	0.56	NaN	1	-	-	-
"lrp"	"tpx"	0.18	0.40	NaN	1	-	-	-
"lrp"	"ycjG"	0.17	0.52	NaN	1	-	-	-
"lrp"	"mpaA"	0.35	0.32	NaN	1	-	-	-
"lrp"	"pgrR"	0.06	0.03	NaN	1	-	-	-
"lrp"	"ycjY"	0.18	0.27	NaN	1	-	-	-
"lrp"	"mppA"	-0.05	0.21	NaN	-1	-	-	-
"lrp"	"insH-4"	0.40	0.52	NaN	1	-	-	-
"lrp"	"ynaI"	-0.40	0.31	NaN	-1	-	-	-
"lrp"	"ynaJ"	0.67	1.14	NaN	1	-	-	-
"lrp"	"uspE"	0.24	0.29	NaN	1	-	-	-
"lrp"	"fnr"	0.24	0.30	NaN	1	-	-	-
"lrp"	"ogt"	0.37	0.65	NaN	1	-	-	-
"lrp"	"mcaS"	0.26	0.89	NaN	1	-	-	-
"lrp"	"smrA"	0.20	0.64	NaN	1	-	-	-
"lrp"	"dgcM"	0.15	1.12	NaN	1	-	-	-
"lrp"	"ydaN"	0.33	0.20	NaN	1	-	-	-
"lrp"	"fnrS"	0.02	0.76	NaN	1	-	-	-
"lrp"	"C0343"	-0.67	1.25	NaN	-1	-	-	-
"lrp"	"dbpA"	-0.37	0.92	NaN	-1	-	-	-
"lrp"	"ttcA"	-0.05	0.11	NaN	-1	-	-	-
"lrp"	"intR"	0.05	0.20	NaN	1	-	-	-
"lrp"	"ydaG"	0.31	0.00	NaN	1	-	-	-
"lrp"	"ydaS"	0.10	0.58	NaN	1	-	-	-
"lrp"	"racR"	-0.29	0.43	NaN	-1	-	-	-
"lrp"	"trkG"	-0.17	0.31	NaN	-1	-	-	-
"lrp"	"ynaK"	1.13	0.62	NaN	1	-	-	-
"lrp"	"insH-5"	-0.47	0.44	NaN	-1	-	-	-
"lrp"	"pinR"	-0.50	0.71	NaN	-1	-	-	-
"lrp"	"ynaE"	-0.62	1.55	NaN	-1	-	-	-
"lrp"	"uspF"	0.15	0.41	NaN	1	-	-	-
"lrp"	"ompN"	-0.07	0.57	NaN	-1	-	-	-
"lrp"	"ydbK"	-0.06	0.51	NaN	-1	-	-	-
"lrp"	"ydbJ"	-0.04	0.55	NaN	-1	-	-	-
"lrp"	"hslJ"	0.36	0.40	NaN	1	-	-	-
"lrp"	"ydbH"	-0.19	0.31	NaN	-1	-	-	-
"lrp"	"ldhA"	0.72	0.53	NaN	1	-	-	-
"lrp"	"ynbE"	-0.17	0.77	NaN	-1	-	-	-
"lrp"	"feaR"	0.17	0.53	NaN	1	-	-	-
"lrp"	"feaB"	0.34	0.31	NaN	1	-	-	-
"lrp"	"tynA"	-0.16	0.37	NaN	-1	-	-	-
"lrp"	"paaZ"	0.01	0.48	NaN	1	-	-	-
"lrp"	"paaA"	0.04	0.45	NaN	1	-	-	-
"lrp"	"paaX"	0.40	0.41	NaN	1	-	-	-
"lrp"	"insI-2"	0.23	0.09	NaN	1	-	-	-
"lrp"	"ydbC"	0.10	0.75	NaN	1	-	-	-
"lrp"	"ydbD"	-0.20	0.11	NaN	-1	-	-	-
"lrp"	"hrpA"	-0.46	0.83	NaN	-1	-	-	-
"lrp"	"azoR"	0.11	0.23	NaN	1	-	-	-
"lrp"	"ydcF"	-0.16	0.05	NaN	-1	-	-	-
"lrp"	"aldA"	-0.40	1.27	NaN	-1	-	-	-
"lrp"	"gapC_1"	-0.25	0.40	NaN	-1	-	-	-
"lrp"	"cybB"	-0.51	0.16	NaN	-1	-	-	-
"lrp"	"ydcA"	-0.56	0.16	NaN	-1	-	-	-
"lrp"	"sokB"	-0.40	0.52	NaN	-1	-	-	-
"lrp"	"trg"	0.38	0.11	NaN	1	-	-	-
"lrp"	"ydcI"	0.49	0.66	NaN	1	-	-	-
"lrp"	"ydcJ"	0.16	0.61	NaN	1	-	-	-
"lrp"	"opgD"	-0.18	0.21	NaN	-1	-	-	-
"lrp"	"rimL"	0.00	0.15	NaN	-1	-	-	-
"lrp"	"tehA"	0.12	0.19	NaN	1	-	-	-
"lrp"	"ydcK"	0.27	0.58	NaN	1	-	-	-
"lrp"	"tehB"	-0.14	0.55	NaN	-1	-	-	-
"lrp"	"ydcL"	0.58	0.25	NaN	1	-	-	-
"lrp"	"ydcM"	0.26	0.29	NaN	1	-	-	-
"lrp"	"sutR"	0.17	0.31	NaN	1	-	-	-
"lrp"	"ydcP"	-0.41	0.63	NaN	-1	-	-	-
"lrp"	"hicA"	-0.03	0.48	NaN	-1	-	-	-
"lrp"	"ydcR"	-0.28	0.33	NaN	-1	-	-	-
"lrp"	"ydcS"	0.32	0.47	NaN	1	-	-	-
"lrp"	"patD"	-0.17	1.82	NaN	-1	-	-	-
"lrp"	"yncL"	-0.23	0.86	NaN	-1	-	-	-
"lrp"	"ortT"	-0.42	0.37	NaN	-1	-	-	-
"lrp"	"ydcY"	0.48	1.02	NaN	1	-	-	-
"lrp"	"ydcZ"	0.14	0.39	NaN	1	-	-	-
"lrp"	"mnaT"	0.24	1.04	NaN	1	-	-	-
"lrp"	"curA"	0.13	1.31	NaN	1	-	-	-
"lrp"	"mcbR"	-0.31	0.43	NaN	-1	-	-	-
"lrp"	"yncE"	0.57	0.65	NaN	1	-	-	-
"lrp"	"yncD"	-0.17	0.30	NaN	-1	-	-	-
"lrp"	"ansP"	0.09	0.02	NaN	1	-	-	-
"lrp"	"yncG"	0.12	0.29	NaN	1	-	-	-
"lrp"	"yncI"	-0.86	0.48	NaN	-1	-	-	-
"lrp"	"pptA"	-0.42	0.16	NaN	-1	-	-	-
"lrp"	"nhoA"	0.43	0.34	NaN	1	-	-	-
"lrp"	"yddE"	-0.41	0.59	NaN	-1	-	-	-
"lrp"	"narW"	-0.78	1.34	NaN	-1	-	-	-
"lrp"	"narZ"	-0.57	1.24	NaN	-1	-	-	-
"lrp"	"narU"	-0.39	1.07	NaN	-1	-	-	-
"lrp"	"yddG"	-0.32	0.28	NaN	-1	-	-	-
"lrp"	"fdnG"	-0.19	0.16	NaN	-1	-	-	-
"lrp"	"yddM"	0.14	0.50	NaN	1	-	-	-
"lrp"	"adhP"	-0.10	1.16	NaN	-1	-	-	-
"lrp"	"maeA"	-0.45	0.77	NaN	-1	-	-	-
"lrp"	"sra"	-0.25	0.57	NaN	-1	-	-	-
"lrp"	"bdm"	0.41	0.66	NaN	1	-	-	-
"lrp"	"osmC"	0.07	0.36	NaN	1	-	-	-
"lrp"	"ddpX"	3.04	4.36	NaN	1	-	-	-
"lrp"	"dosP"	-0.32	0.98	NaN	-1	-	-	-
"lrp"	"yddW"	-0.16	0.24	NaN	-1	-	-	-
"lrp"	"gadC"	0.28	0.94	NaN	1	-	-	-
"lrp"	"gadB"	0.18	0.81	NaN	1	-	-	-
"lrp"	"yddB"	0.37	0.95	NaN	1	-	-	-
"lrp"	"ydeN"	0.79	1.33	NaN	1	-	-	-
"lrp"	"ydeP"	-0.66	0.52	NaN	-1	-	-	-
"lrp"	"ydeR"	0.46	0.91	NaN	1	-	-	-
"lrp"	"hipB"	0.08	0.62	NaN	1	-	-	-
"lrp"	"lsrR"	0.01	0.09	NaN	1	-	-	-
"lrp"	"lsrA"	-0.25	0.72	NaN	-1	-	-	-
"lrp"	"tam"	0.22	0.19	NaN	1	-	-	-
"lrp"	"yneE"	-0.63	0.37	NaN	-1	-	-	-
"lrp"	"uxaB"	-0.04	0.44	NaN	-1	-	-	-
"lrp"	"dgcF"	-0.16	0.71	NaN	-1	-	-	-
"lrp"	"yneJ"	-0.09	0.34	NaN	-1	-	-	-
"lrp"	"sad"	0.23	0.57	NaN	1	-	-	-
"lrp"	"yneK"	-0.02	0.17	NaN	-1	-	-	-
"lrp"	"ydeA"	0.22	0.90	NaN	1	-	-	-
"lrp"	"marC"	0.28	0.76	NaN	1	-	-	-
"lrp"	"marR"	0.29	0.56	NaN	1	-	-	-
"lrp"	"eamA"	0.50	0.31	NaN	1	-	-	-
"lrp"	"ydeE"	-1.07	0.67	NaN	-1	-	-	-
"lrp"	"yneM"	-0.28	1.09	NaN	-1	-	-	-
"lrp"	"mgrR"	-0.20	1.72	NaN	-1	-	-	-
"lrp"	"dgcZ"	0.22	0.05	NaN	1	-	-	-
"lrp"	"ydeI"	-0.11	0.65	NaN	-1	-	-	-
"lrp"	"ydeJ"	0.13	0.46	NaN	1	-	-	-
"lrp"	"dcp"	-0.40	0.61	NaN	-1	-	-	-
"lrp"	"ydfG"	0.03	0.37	NaN	1	-	-	-
"lrp"	"ydfH"	-0.11	0.30	NaN	-1	-	-	-
"lrp"	"ydfZ"	-0.79	0.08	NaN	-1	-	-	-
"lrp"	"ydfK"	-0.18	0.00	NaN	-1	-	-	-
"lrp"	"pinQ"	1.17	0.28	NaN	1	-	-	-
"lrp"	"tfaQ"	1.18	1.99	NaN	1	-	-	-
"lrp"	"nohA"	1.17	0.94	NaN	1	-	-	-
"lrp"	"gnsB"	-0.74	1.73	NaN	-1	-	-	-
"lrp"	"cspI"	0.05	2.14	NaN	1	-	-	-
"lrp"	"cspF"	-0.90	0.00	NaN	-1	-	-	-
"lrp"	"cspB"	0.26	1.82	NaN	1	-	-	-
"lrp"	"rem"	-0.08	0.92	NaN	-1	-	-	-
"lrp"	"relE"	0.27	0.47	NaN	1	-	-	-
"lrp"	"relB"	0.37	0.47	NaN	1	-	-	-
"lrp"	"flxA"	-0.36	0.72	NaN	-1	-	-	-
"lrp"	"dicC"	-0.24	0.00	NaN	-1	-	-	-
"lrp"	"dicA"	0.19	0.82	NaN	1	-	-	-
"lrp"	"ydfA"	-0.11	0.97	NaN	-1	-	-	-
"lrp"	"dicB"	0.75	0.32	NaN	1	-	-	-
"lrp"	"ynfA"	-0.15	0.05	NaN	-1	-	-	-
"lrp"	"ynfB"	0.34	0.78	NaN	1	-	-	-
"lrp"	"speG"	0.42	0.64	NaN	1	-	-	-
"lrp"	"ynfD"	0.29	0.10	NaN	1	-	-	-
"lrp"	"ynfC"	0.21	0.24	NaN	1	-	-	-
"lrp"	"ynfE"	-0.05	0.43	NaN	-1	-	-	-
"lrp"	"ynfF"	-0.63	0.85	NaN	-1	-	-	-
"lrp"	"dmsD"	0.23	0.47	NaN	1	-	-	-
"lrp"	"ynfK"	-0.26	0.33	NaN	-1	-	-	-
"lrp"	"mlc"	0.08	0.23	NaN	1	-	-	-
"lrp"	"ynfM"	-0.35	0.80	NaN	-1	-	-	-
"lrp"	"ynfL"	0.13	0.47	NaN	1	-	-	-
"lrp"	"asr"	0.18	0.91	NaN	1	-	-	-
"lrp"	"ydgD"	-0.03	0.12	NaN	-1	-	-	-
"lrp"	"mdtJ"	-0.04	1.84	NaN	-1	-	-	-
"lrp"	"tqsA"	0.00	0.32	NaN	-1	-	-	-
"lrp"	"pntB"	0.41	0.95	NaN	1	-	-	-
"lrp"	"pntA"	0.75	0.55	NaN	1	-	-	-
"lrp"	"ydgH"	0.41	0.49	NaN	1	-	-	-
"lrp"	"ydgC"	-0.13	1.04	NaN	-1	-	-	-
"lrp"	"rstA"	0.09	0.48	NaN	1	-	-	-
"lrp"	"tus"	-0.23	0.47	NaN	-1	-	-	-
"lrp"	"fumC"	0.63	0.54	NaN	1	-	-	-
"lrp"	"fumA"	0.12	0.09	NaN	1	-	-	-
"lrp"	"manA"	-0.62	0.11	NaN	-1	-	-	-
"lrp"	"ydgA"	0.13	0.45	NaN	1	-	-	-
"lrp"	"uidC"	0.28	0.71	NaN	1	-	-	-
"lrp"	"uidA"	0.78	0.44	NaN	1	-	-	-
"lrp"	"uidR"	-0.23	0.30	NaN	-1	-	-	-
"lrp"	"hdhA"	-0.39	0.88	NaN	-1	-	-	-
"lrp"	"malI"	0.21	0.30	NaN	1	-	-	-
"lrp"	"malX"	0.01	0.52	NaN	1	-	-	-
"lrp"	"malY"	0.16	0.33	NaN	1	-	-	-
"lrp"	"add"	0.99	0.49	NaN	1	-	-	-
"lrp"	"ydgJ"	-0.18	0.40	NaN	-1	-	-	-
"lrp"	"blr"	-0.12	0.66	NaN	-1	-	-	-
"lrp"	"cnu"	-0.28	1.70	NaN	-1	-	-	-
"lrp"	"ydgK"	-0.58	0.48	NaN	-1	-	-	-
"lrp"	"rsxA"	-0.61	0.45	NaN	-1	-	-	-
"lrp"	"rsxC"	-0.91	1.03	NaN	-1	-	-	-
"lrp"	"nth"	-1.28	1.04	NaN	-1	-	-	-
"lrp"	"dtpA"	-3.69	1.38	NaN	-1	-	-	-
"lrp"	"gstA"	0.36	0.13	NaN	1	-	-	-
"lrp"	"tyrS"	-0.06	0.55	NaN	-1	-	-	-
"lrp"	"pdxH"	-0.15	0.10	NaN	-1	-	-	-
"lrp"	"anmK"	0.05	0.32	NaN	1	-	-	-
"lrp"	"slyB"	0.14	0.40	NaN	1	-	-	-
"lrp"	"slyA"	0.10	0.67	NaN	1	-	-	-
"lrp"	"ydhI"	-1.70	1.77	NaN	-1	-	-	-
"lrp"	"sodC"	0.28	0.54	NaN	1	-	-	-
"lrp"	"ydhF"	0.12	0.40	NaN	1	-	-	-
"lrp"	"ydhL"	-0.09	0.67	NaN	-1	-	-	-
"lrp"	"nemR"	0.28	0.97	NaN	1	-	-	-
"lrp"	"gloA"	-0.06	0.58	NaN	-1	-	-	-
"lrp"	"lhr"	-0.48	0.75	NaN	-1	-	-	-
"lrp"	"grxD"	0.05	0.64	NaN	1	-	-	-
"lrp"	"mepH"	-0.22	0.72	NaN	-1	-	-	-
"lrp"	"sodB"	0.16	0.22	NaN	1	-	-	-
"lrp"	"ydhP"	-0.13	0.10	NaN	-1	-	-	-
"lrp"	"purR"	-0.42	0.39	NaN	-1	-	-	-
"lrp"	"ydhB"	0.01	0.43	NaN	1	-	-	-
"lrp"	"ydhC"	0.22	0.90	NaN	1	-	-	-
"lrp"	"cfa"	0.23	0.54	NaN	1	-	-	-
"lrp"	"mdtK"	-0.02	0.21	NaN	-1	-	-	-
"lrp"	"ribC"	0.11	0.51	NaN	1	-	-	-
"lrp"	"ydhQ"	0.30	0.29	NaN	1	-	-	-
"lrp"	"valV"	0.54	0.86	NaN	1	-	-	-
"lrp"	"ydhR"	0.01	0.38	NaN	1	-	-	-
"lrp"	"ydhS"	-0.09	0.74	NaN	-1	-	-	-
"lrp"	"ydhT"	-0.23	1.24	NaN	-1	-	-	-
"lrp"	"ydhY"	-0.90	0.81	NaN	-1	-	-	-
"lrp"	"ydhZ"	-0.31	0.19	NaN	-1	-	-	-
"lrp"	"pykF"	0.08	0.48	NaN	1	-	-	-
"lrp"	"lpp"	-0.29	0.48	NaN	-1	-	-	-
"lrp"	"ldtE"	0.57	0.35	NaN	1	-	-	-
"lrp"	"sufE"	-0.01	0.52	NaN	-1	-	-	-
"lrp"	"sufA"	0.64	0.48	NaN	1	-	-	-
"lrp"	"rydB"	-0.68	0.46	NaN	-1	-	-	-
"lrp"	"ydiH"	-1.03	0.98	NaN	-1	-	-	-
"lrp"	"ydiK"	-0.07	0.22	NaN	-1	-	-	-
"lrp"	"rprA"	0.35	0.00	NaN	1	-	-	-
"lrp"	"ydiM"	-0.30	0.49	NaN	-1	-	-	-
"lrp"	"ydiN"	-0.73	0.05	NaN	-1	-	-	-
"lrp"	"aroD"	-0.28	0.40	NaN	-1	-	-	-
"lrp"	"ydiP"	-0.02	0.45	NaN	-1	-	-	-
"lrp"	"ppsA"	-0.55	0.82	NaN	-1	-	-	-
"lrp"	"ppsR"	-0.46	0.21	NaN	-1	-	-	-
"lrp"	"aroH"	0.07	0.66	NaN	1	-	-	-
"lrp"	"ydiE"	0.16	0.00	NaN	1	-	-	-
"lrp"	"ydiU"	-0.19	0.09	NaN	-1	-	-	-
"lrp"	"ydiV"	-0.57	0.48	NaN	-1	-	-	-
"lrp"	"nlpC"	0.29	0.88	NaN	1	-	-	-
"lrp"	"btuE"	0.01	0.65	NaN	1	-	-	-
"lrp"	"btuC"	0.05	0.31	NaN	1	-	-	-
"lrp"	"ihfA"	0.28	0.22	NaN	1	-	-	-
"lrp"	"pheS"	-0.54	0.73	NaN	-1	-	-	-
"lrp"	"pheM"	0.24	0.32	NaN	1	-	-	-
"lrp"	"rplT"	-0.35	0.49	NaN	-1	-	-	-
"lrp"	"rpmI"	-0.63	0.42	NaN	-1	-	-	-
"lrp"	"infC"	-0.36	0.16	NaN	-1	-	-	-
"lrp"	"thrS"	-0.09	0.05	NaN	-1	-	-	-
"lrp"	"yniD"	-0.18	0.43	NaN	-1	-	-	-
"lrp"	"ydiY"	-0.19	0.52	NaN	-1	-	-	-
"lrp"	"pfkB"	0.32	0.16	NaN	1	-	-	-
"lrp"	"ydiZ"	0.05	0.55	NaN	1	-	-	-
"lrp"	"yniA"	0.05	0.48	NaN	1	-	-	-
"lrp"	"yniB"	0.15	0.46	NaN	1	-	-	-
"lrp"	"yniC"	0.01	0.33	NaN	1	-	-	-
"lrp"	"ydjM"	-0.14	0.26	NaN	-1	-	-	-
"lrp"	"tcyP"	-0.34	0.52	NaN	-1	-	-	-
"lrp"	"ydjO"	0.14	1.47	NaN	1	-	-	-
"lrp"	"cedA"	0.12	0.53	NaN	1	-	-	-
"lrp"	"katE"	-1.08	2.29	NaN	-1	-	-	-
"lrp"	"chbG"	0.19	0.46	NaN	1	-	-	-
"lrp"	"chbR"	-0.44	0.77	NaN	-1	-	-	-
"lrp"	"chbB"	0.19	0.30	NaN	1	-	-	-
"lrp"	"osmE"	0.16	0.29	NaN	1	-	-	-
"lrp"	"nadE"	-0.10	0.38	NaN	-1	-	-	-
"lrp"	"cho"	0.08	0.49	NaN	1	-	-	-
"lrp"	"ves"	0.77	0.23	NaN	1	-	-	-
"lrp"	"spy"	-0.41	0.33	NaN	-1	-	-	-
"lrp"	"astE"	-0.06	3.29	NaN	-1	-	-	-
"lrp"	"astC"	1.72	5.91	NaN	1	-	-	-
"lrp"	"xthA"	-0.34	0.30	NaN	-1	-	-	-
"lrp"	"ydjX"	-0.39	0.46	NaN	-1	-	-	-
"lrp"	"ydjY"	-0.24	0.72	NaN	-1	-	-	-
"lrp"	"ynjA"	0.09	0.34	NaN	1	-	-	-
"lrp"	"ynjE"	-0.79	1.26	NaN	-1	-	-	-
"lrp"	"ynjF"	0.11	0.27	NaN	1	-	-	-
"lrp"	"nudG"	-0.03	1.11	NaN	-1	-	-	-
"lrp"	"ynjH"	0.60	1.19	NaN	1	-	-	-
"lrp"	"gdhA"	-1.30	2.44	NaN	-1	-	-	-
"lrp"	"ynjI"	-0.39	0.30	NaN	-1	-	-	-
"lrp"	"selD"	0.12	0.08	NaN	1	-	-	-
"lrp"	"ydjA"	0.27	0.25	NaN	1	-	-	-
"lrp"	"sppA"	-0.22	0.22	NaN	-1	-	-	-
"lrp"	"ydjE"	-0.79	0.19	NaN	-1	-	-	-
"lrp"	"ydjF"	-0.38	0.26	NaN	-1	-	-	-
"lrp"	"gapA"	-0.14	0.50	NaN	-1	-	-	-
"lrp"	"msrB"	0.55	0.34	NaN	1	-	-	-
"lrp"	"yeaD"	0.34	0.11	NaN	1	-	-	-
"lrp"	"yeaE"	-1.11	1.21	NaN	-1	-	-	-
"lrp"	"mipA"	-0.31	0.35	NaN	-1	-	-	-
"lrp"	"yeaG"	1.42	1.03	NaN	1	-	-	-
"lrp"	"cdgI"	-0.18	1.44	NaN	-1	-	-	-
"lrp"	"dgcJ"	-1.12	0.19	NaN	-1	-	-	-
"lrp"	"yeaK"	-1.05	0.49	NaN	-1	-	-	-
"lrp"	"yeaL"	-0.44	0.41	NaN	-1	-	-	-
"lrp"	"nimT"	-0.19	0.25	NaN	-1	-	-	-
"lrp"	"nimR"	0.35	0.38	NaN	1	-	-	-
"lrp"	"yeaO"	0.20	0.47	NaN	1	-	-	-
"lrp"	"dgcP"	-0.85	0.65	NaN	-1	-	-	-
"lrp"	"yoaF"	0.06	0.88	NaN	1	-	-	-
"lrp"	"yoaK"	-0.64	0.62	NaN	-1	-	-	-
"lrp"	"yeaQ"	-0.10	0.86	NaN	-1	-	-	-
"lrp"	"yeaR"	-0.99	0.89	NaN	-1	-	-	-
"lrp"	"leuE"	-1.01	0.84	NaN	-1	-	-	-
"lrp"	"dmlA"	-0.23	0.26	NaN	-1	-	-	-
"lrp"	"dmlR"	-0.21	0.19	NaN	-1	-	-	-
"lrp"	"rnd"	-0.17	0.32	NaN	-1	-	-	-
"lrp"	"fadD"	0.45	0.18	NaN	1	-	-	-
"lrp"	"yeaY"	1.18	1.83	NaN	1	-	-	-
"lrp"	"tsaB"	-0.27	0.25	NaN	-1	-	-	-
"lrp"	"yoaB"	-0.59	0.19	NaN	-1	-	-	-
"lrp"	"yoaC"	0.01	0.19	NaN	1	-	-	-
"lrp"	"pabB"	-0.59	0.40	NaN	-1	-	-	-
"lrp"	"yoaH"	0.20	1.04	NaN	1	-	-	-
"lrp"	"nudL"	-0.01	0.35	NaN	-1	-	-	-
"lrp"	"sdaA"	-1.41	0.40	NaN	-1	-	-	-
"lrp"	"yoaE"	-0.41	0.46	NaN	-1	-	-	-
"lrp"	"manX"	0.12	0.59	NaN	1	-	-	-
"lrp"	"manY"	0.17	0.50	NaN	1	-	-	-
"lrp"	"manZ"	0.30	0.40	NaN	1	-	-	-
"lrp"	"yobD"	0.00	0.13	NaN	1	-	-	-
"lrp"	"mntP"	-0.77	0.38	NaN	-1	-	-	-
"lrp"	"rlmA"	-0.27	0.14	NaN	-1	-	-	-
"lrp"	"cspC"	-0.16	0.07	NaN	-1	-	-	-
"lrp"	"yobF"	-0.01	0.23	NaN	-1	-	-	-
"lrp"	"mgrB"	0.33	0.60	NaN	1	-	-	-
"lrp"	"yobH"	0.19	0.85	NaN	1	-	-	-
"lrp"	"kdgR"	-0.08	0.33	NaN	-1	-	-	-
"lrp"	"yebQ"	-0.23	0.28	NaN	-1	-	-	-
"lrp"	"htpX"	0.32	0.99	NaN	1	-	-	-
"lrp"	"prc"	-0.75	0.64	NaN	-1	-	-	-
"lrp"	"yebS"	-0.05	0.20	NaN	-1	-	-	-
"lrp"	"msrC"	0.02	0.54	NaN	1	-	-	-
"lrp"	"rsmF"	-0.57	0.74	NaN	-1	-	-	-
"lrp"	"yebV"	-0.19	0.87	NaN	-1	-	-	-
"lrp"	"yebW"	0.20	0.35	NaN	1	-	-	-
"lrp"	"ryeA"	-0.19	1.53	NaN	-1	-	-	-
"lrp"	"sdsR"	0.42	1.18	NaN	1	-	-	-
"lrp"	"pphA"	0.22	0.35	NaN	1	-	-	-
"lrp"	"holE"	-0.29	0.20	NaN	-1	-	-	-
"lrp"	"yobB"	-0.63	0.26	NaN	-1	-	-	-
"lrp"	"yobA"	0.59	0.88	NaN	1	-	-	-
"lrp"	"exoX"	-0.18	0.30	NaN	-1	-	-	-
"lrp"	"ptrB"	0.01	0.67	NaN	1	-	-	-
"lrp"	"yebE"	-0.18	0.62	NaN	-1	-	-	-
"lrp"	"yebF"	-0.22	0.34	NaN	-1	-	-	-
