#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"ykfB"	0.41	0.46	NaN	1	-	-	-
"lrp"	"yafZ"	-1.09	0.00	NaN	-1	-	-	-
"lrp"	"insN-1"	0.07	0.31	NaN	1	-	-	-
"lrp"	"insI-1"	0.03	0.25	NaN	1	-	-	-
"lrp"	"mmuP"	0.11	0.18	NaN	1	-	-	-
"lrp"	"insH-1"	0.40	0.52	NaN	1	-	-	-
"lrp"	"insI2"	0.28	0.36	NaN	1	-	-	-
"lrp"	"insAB-2"	-0.35	0.83	NaN	-1	-	-	-
"lrp"	"yagE"	-0.33	1.18	NaN	-1	-	-	-
"lrp"	"yagG"	0.09	0.66	NaN	1	-	-	-
"lrp"	"yagI"	-0.13	0.35	NaN	-1	-	-	-
"lrp"	"argF"	0.39	2.32	NaN	1	-	-	-
"lrp"	"yagJ"	-0.07	0.04	NaN	-1	-	-	-
"lrp"	"yagK"	0.45	1.13	NaN	1	-	-	-
"lrp"	"yagL"	-1.52	0.69	NaN	-1	-	-	-
"lrp"	"yagN"	0.33	1.24	NaN	1	-	-	-
"lrp"	"yagU"	0.06	0.67	NaN	1	-	-	-
"lrp"	"ykgJ"	0.03	0.74	NaN	1	-	-	-
"lrp"	"ecpB"	1.31	0.00	NaN	1	-	-	-
"lrp"	"ecpA"	0.07	0.28	NaN	1	-	-	-
"lrp"	"ecpR"	1.27	0.11	NaN	1	-	-	-
"lrp"	"ykgL"	-0.56	1.01	NaN	-1	-	-	-
"lrp"	"ykgM"	-0.58	0.85	NaN	-1	-	-	-
"lrp"	"ykgR"	-0.49	0.00	NaN	-1	-	-	-
"lrp"	"rclC"	0.58	0.16	NaN	1	-	-	-
"lrp"	"rclA"	-0.01	1.37	NaN	-1	-	-	-
"lrp"	"rclR"	0.37	0.20	NaN	1	-	-	-
"lrp"	"ykgE"	0.42	0.44	NaN	1	-	-	-
"lrp"	"betA"	-0.18	0.48	NaN	-1	-	-	-
"lrp"	"betI"	0.33	1.00	NaN	1	-	-	-
"lrp"	"betT"	0.34	0.73	NaN	1	-	-	-
"lrp"	"pdeL"	-0.36	0.40	NaN	-1	-	-	-
"lrp"	"yahC"	-0.01	1.67	NaN	-1	-	-	-
"lrp"	"yahE"	0.63	0.62	NaN	1	-	-	-
"lrp"	"yahK"	0.20	0.78	NaN	1	-	-	-
"lrp"	"yahM"	-0.01	1.03	NaN	-1	-	-	-
"lrp"	"yahO"	0.13	0.74	NaN	1	-	-	-
"lrp"	"yahN"	-0.53	0.64	NaN	-1	-	-	-
"lrp"	"prpR"	0.17	0.49	NaN	1	-	-	-
